Ward,SchoolID,DeptID,SchoolShortName,SchoolLongName,GradeCat,CPSPositions,CTUMembers,CTUNetwork,Address,City,State,Zip
9,609900,23061,CURTIS,George W Curtis Elementary School,ES,52,37,AUSL-S,32 E 115TH ST,Chicago,Illinois,60628
9,609943,23351,OWENS,Jesse Owens Elementary Community Academy,ES,64,33,13B,12302 S STATE ST,Chicago,Illinois,60628
9,610004,23891,CULLEN,Countee Cullen Elementary School,ES,23,14,13A,10650 S EBERHART AVE,Chicago,Illinois,60628
9,610027,24081,KIPLING,Rudyard Kipling Elementary School,ES,34,25,11B,9351 S LOWE AVE,Chicago,Illinois,60620
9,610091,24631,BROWN R,Ronald Brown Elementary Community Academy,ES,36,24,13A,12607 S UNION AVE,Chicago,Illinois,60628
9,610139,25041,PULLMAN,George M Pullman Elementary School,ES,48,32,13B,11311 S FORRESTVILLE AVE,Chicago,Illinois,60628
9,610208,25671,LAVIZZO,Mildred I Lavizzo Elementary School,ES,46,32,13A,138 W 109TH ST,Chicago,Illinois,60628
9,610362,26591,EVERS,Medgar Evers Elementary School,ES,32,21,11B,9811 S LOWE AVE,Chicago,Illinois,60628
9,610364,26601,DUBOIS,William E B Dubois Elementary School,ES,31,21,13B,330 E 133RD ST,Chicago,Illinois,60827
9,609895,29041,TURNER-DREW,Turner-Drew Elementary Language Academy,ES,34,20,11B,9300 S PRINCETON AVE,Chicago,Illinois,60620
9,610132,29261,POE,Edgar Allan Poe Elementary Classical School,ES,26,19,13B,10538 S LANGLEY AVE,Chicago,Illinois,60628
9,609902,31061,METCALFE,Ralph H Metcalfe Elementary Community Academy,ES,48,26,13A,12339 S NORMAL AVE,Chicago,Illinois,60628
9,609761,46391,CORLISS HS,George H Corliss High School,HS,62,32,017,821 E 103RD ST,Chicago,Illinois,60628
9,609726,47051,BROOKS HS,Gwendolyn Brooks College Preparatory Academy HS,HS,106,65,017,250 E 111TH ST,Chicago,Illinois,60628
9,609710,51021,HARLAN HS,John M Harlan Community Academy High School,HS,56,29,017,9652 S MICHIGAN AVE,Chicago,Illinois,60628
9,400028,66161,CICS - PRAIRIE,CICS - Prairie,ES,0,0,,11530 S PRAIRIE AVE,Chicago,Illinois,60628
9,400156,66576,NOBLE - BUTLER HS,Noble - Butler College Prep,HS,0,0,,821 E 103RD ST,Chicago,Illinois,60628
9,400161,66671,CHICAGO COLLEGIATE,Chicago Collegiate Charter School,HS,0,0,,11816 S INDIANA,Chicago,Illinois,60628
10,609772,22021,ADDAMS,Jane Addams Elementary School,ES,58,48,13B,10810 S AVENUE H,Chicago,Illinois,60617
10,609811,22331,BRIGHT,Orville T Bright Elementary School,ES,49,23,13B,10740 S CALHOUN AVE,Chicago,Illinois,60617
10,609845,22621,CARVER G,George Washington Carver Primary School,ES,56,38,13B,901 E 133RD PL,Chicago,Illinois,60827
10,610586,22631,SADLOWSKI,Edward E. Sadlowski Elementary School,ES,87,51,13B,3930 E 105TH,Chicago,Illinois,60617
10,609848,22641,ALDRIDGE,Ira F Aldridge Elementary School,ES,37,19,13B,630 E 131ST ST,Chicago,Illinois,60827
10,609856,22731,CLAY,Henry Clay Elementary School,ES,67,45,13B,13231 S BURLEY AVE,Chicago,Illinois,60633
10,609944,23361,GRISSOM,Virgil Grissom Elementary School,ES,37,25,13B,12810 S ESCANABA AVE,Chicago,Illinois,60633
10,610054,24361,MARSH,John L Marsh Elementary School,ES,84,55,13B,9822 S EXCHANGE AVE,Chicago,Illinois,60617
10,610171,25331,MIRELES,Arnold Mireles Elementary Academy,ES,56,37,12B,9000 S EXCHANGE AVE,Chicago,Illinois,60617
10,610193,25541,NEW SULLIVAN,William K New Sullivan Elementary School,ES,78,39,12A,8331 S MACKINAW AVE,Chicago,Illinois,60617
10,610198,25591,TAYLOR,Douglas Taylor Elementary School,ES,51,34,13B,9912 S AVENUE H,Chicago,Illinois,60617
10,610200,25601,THORP J,James N Thorp Elementary School,ES,60,29,12B,8914 S BUFFALO AVE,Chicago,Illinois,60617
10,610219,25771,WASHINGTON G ES,George Washington Elementary School,ES,63,54,13B,3611 E 114TH ST,Chicago,Illinois,60617
10,609935,29091,GALLISTEL,Matthew Gallistel Elementary Language Academy,ES,72,55,13B,10347 S EWING AVE,Chicago,Illinois,60617
10,609739,46331,WASHINGTON HS,George Washington High School,HS,171,122,017,3535 E 114TH ST,Chicago,Illinois,60617
10,609760,46381,CARVER MILITARY HS,George Washington Carver Military Academy HS,HS,59,35,017,13100 S DOTY AVE,Chicago,Illinois,60827
10,400092,66076,CICS - BOND,CICS - Lloyd Bond,ES,0,0,,13300 S LANGLEY AVE,Chicago,Illinois,60827
10,400107,66563,LEARN - SOUTH CHICAGO,L.E.A.R.N. - South Chicago Campus,ES,0,0,,8914 S BUFFALO AVE,Chicago,Illinois,60617
11,609777,22061,ARMOUR,Phillip D Armour Elementary School,ES,47,34,06B,950 W 33RD PL,Chicago,Illinois,60608
11,609959,23481,HAINES,John Charles Haines Elementary School,ES,53,42,06B,247 W 23RD PL,Chicago,Illinois,60616
11,609979,23651,HEALY,Robert Healy Elementary School,ES,104,86,06B,3010 S PARNELL AVE,Chicago,Illinois,60616
11,609996,23821,HOLDEN,Charles N Holden Elementary School,ES,48,40,06B,1104 W 31ST ST,Chicago,Illinois,60608
11,610062,24421,MCCLELLAN,George B McClellan Elementary School,ES,62,31,06B,3527 S WALLACE ST,Chicago,Illinois,60609
11,610217,25751,WARD J,James Ward Elementary School,ES,52,42,06B,2701 S SHIELDS AVE,Chicago,Illinois,60616
11,610319,26461,EVERGREEN,Evergreen Academy Middle School,MS,34,25,08B,3537 S PAULINA ST,Chicago,Illinois,60609
11,610081,29201,SHERIDAN,Mark Sheridan Math & Science Academy,ES,56,39,06B,533 W 27TH ST,Chicago,Illinois,60616
11,610513,45231,AIR FORCE HS,Air Force Academy High School,HS,36,24,016,3630 S WELLS ST,Chicago,Illinois,60609
12,610170,20071,COLUMBIA EXPLORERS,Columbia Explorers Elementary Academy,ES,95,66,08A,4520 S KEDZIE AVE,Chicago,Illinois,60632
12,609829,22481,BURROUGHS,John C Burroughs Elementary School,ES,47,37,08A,3542 S WASHTENAW AVE,Chicago,Illinois,60632
12,609876,22891,DAVIS N,Nathan S Davis Elementary School,ES,85,56,08A,3014 W 39TH PL,Chicago,Illinois,60632
12,609909,23141,EVERETT,Edward Everett Elementary School,ES,31,19,08B,3419 S BELL AVE,Chicago,Illinois,60608
12,609952,23431,GREENE,Nathanael Greene Elementary School,ES,44,31,08B,3525 S HONORE ST,Chicago,Illinois,60609
12,610174,25361,SHIELDS,James Shields Elementary School,ES,65,47,08B,4250 S ROCKWELL ST,Chicago,Illinois,60632
12,610317,26451,BRIGHTON PARK,Brighton Park Elementary School,ES,47,35,08A,3825 S WASHTENAW AVE,Chicago,Illinois,60632
12,610353,26821,CALMECA,Calmeca Academy of Fine Arts and Dual Language,ES,74,62,08A,3456 W 38TH ST,Chicago,Illinois,60632
12,610504,26891,THOMAS,Velma F Thomas Early Childhood Center,ES,39,20,08B,3625 S HOYNE AVE,Chicago,Illinois,60609
12,609958,29121,GUNSAULUS,Frank W Gunsaulus Elementary Scholastic Academy,ES,74,62,08A,4420 S SACRAMENTO AVE,Chicago,Illinois,60632
12,609715,46181,KELLY HS,Thomas Kelly College Preparatory,HS,198,146,016,4136 S CALIFORNIA AVE,Chicago,Illinois,60632
12,610563,46551,BACK OF THE YARDS HS,Back of the Yards IB HS,HS,109,90,08A,2111 W 47TH ST,Chicago,Illinois,60609
12,400050,66271,NAMASTE,Namaste Charter School,ES,0,43,CTUA2,3737 S PAULINA ST,Chicago,Illinois,60609
12,400089,66397,ACERO - MARQUEZ,Acero Charter Schools - Officer Donald J. Marquez,ES,0,46,CTUA1,2916 W 47TH ST,Chicago,Illinois,60632
12,400101,66398,ACERO - CISNEROS,Acero Charter Schools - Sandra Cisneros,ES,0,37,CTUA1,2744 W PERSHING RD,Chicago,Illinois,60632
12,400153,66602,ACERO - BRIGHTON PARK,Acero Charter Schools - Brighton Park,ES,0,45,CTUA1,4420 S FAIRFIELD AVE,Chicago,Illinois,60632
13,609893,23001,DORE,John C Dore Elementary School,ES,93,57,10A,7134 W 65TH ST,Chicago,Illinois,60638
13,610588,23381,RICHARDSON,Robert J. Richardson Middle School,MS,90,74,10A,6018 S KARLOV,Chicago,Illinois,60629
13,609956,23461,GRIMES,Robert L Grimes Elementary School,ES,48,35,10A,5450 W 64TH PL,Chicago,Illinois,60638
13,609960,23491,HALE,Nathan Hale Elementary School,ES,79,63,10A,6140 S MELVINA AVE,Chicago,Illinois,60638
13,610589,23521,SOR JUANA,Sor Juana Ines de la Cruz ES,ES,42,26,08A,4120 W 57TH,Chicago,Illinois,60629
13,610026,24071,KINZIE,John H Kinzie Elementary School,ES,91,63,10A,5625 S MOBILE AVE,Chicago,Illinois,60638
